actif,statut,exchanges,prix_moyen
AGT,A SURVEILLER,LBank,0.015188
AKE,A SURVEILLER,"Gate.io, LBank",0.0141194
APT,A SURVEILLER,OKX,0.5968
ARCSOL,A SURVEILLER,LBank,0.07347
B,A SURVEILLER,Gate.io,0.1886
BLUE,A SURVEILLER,LBank,0.009817
BR,A SURVEILLER,LBank,0.26589
COHRON,A SURVEILLER,LBank,306.71
CRWVON,A SURVEILLER,LBank,90.48
ENJ,A SURVEILLER,LBank,0.02593
FET,A SURVEILLER,OKX,0.1664
FRONG,A SURVEILLER,LBank,0.006951
GLWG,A SURVEILLER,Gate.io,162.21
GRT,A SURVEILLER,OKX,0.01755
IOST,A SURVEILLER,OKX,0.0009039
JAILSTOOL,A SURVEILLER,LBank,0.0012776
JELLYJELLY,A SURVEILLER,LBank,0.05614
KERNEL,A SURVEILLER,LBank,0.03883
LINEA,A SURVEILLER,LBank,0.002553
MEMES,A SURVEILLER,LBank,0.0006255
MRVLG,A SURVEILLER,Gate.io,235.81
MUUB,A SURVEILLER,LBank,31.71
MVLLB,A SURVEILLER,LBank,29.82
NBISG,A SURVEILLER,Gate.io,224.41
NIGHT,A SURVEILLER,OKX,0.020966
OL,A SURVEILLER,OKX,0.005575
PEAQ,A SURVEILLER,Gate.io,0.025619
PHA,A SURVEILLER,LBank,0.02498
PSQON,A SURVEILLER,LBank,26.1
SAGA,A SURVEILLER,LBank,0.01621
SAHARA,A SURVEILLER,OKX,0.009182
SKR,A SURVEILLER,LBank,0.01795
SOPH,A SURVEILLER,"Gate.io, LBank, OKX",0.004492333333333333
STABLE,A SURVEILLER,LBank,0.02814
STRK,A SURVEILLER,OKX,0.02866
STX,A SURVEILLER,OKX,0.2529
SUSHI,A SURVEILLER,OKX,0.2172
TAO,A SURVEILLER,OKX,235.5
TRX,A SURVEILLER,OKX,0.33864
U,A SURVEILLER,LBank,0.9996
USDG,A SURVEILLER,OKX,1.0003
ZK,A SURVEILLER,OKX,0.009403
ZORA,A SURVEILLER,"Gate.io, LBank, OKX",0.008188666666666665
ALGO,A ACHETER,OKX,0.09352
ASMLON,A ACHETER,LBank,1722.34
ATOM,A ACHETER,OKX,1.642
EIGEN,A ACHETER,OKX,0.2132
EPIC,A ACHETER,LBank,0.354
ETC,A ACHETER,OKX,7.633
FIL,A ACHETER,OKX,0.7861
GPS,A ACHETER,LBank,0.010958
ICP,A ACHETER,OKX,2.724
KAT,A ACHETER,"LBank, OKX",0.0048035000000000005
MXN,A ACHETER,LBank,0.05612
NAORIS,A ACHETER,Gate.io,0.03459
SENT,A ACHETER,LBank,0.01385
TSMON,A ACHETER,LBank,439.13
WLD,A ACHETER,"LBank, OKX",0.4047
ZEN,A ACHETER,OKX,6.487
我踏马来了,A ACHETER,Gate.io,0.012527
